No,supplier,barcode,name,quantity,cost,price,alert_quantity,batch_number
560,ANSEL NIZAMDEEN KKY,1002224,VKC LEDIES TWO STEP 475 BL,3,"1,574.25","2,399.00",0,25102024
562,ANSEL NIZAMDEEN KKY,1002231,VKC BOYS COVER SYPE 3659 BR,2,"1,499.25","2,399.00",0,25102024
563,ANSEL NIZAMDEEN KKY,1002232,VKC KIDS SANDALS 3842- 8-10 -MR,9,"1,199.25","1,899.00",1,13032024
564,ANSEL NIZAMDEEN KKY,1002233,VKC KIDS SANDALS 3842- 11-13 -MR,1,"1,236.75","1,999.00",0,13032024
565,ANSEL NIZAMDEEN KKY,1002236,VKC BOYS SHOE 3720- 8-10 -BL,1,"1,199.25","1,899.00",0,13032024
566,ANSEL NIZAMDEEN KKY,1002237,VKC BOYS SHOE 3720- 11-13-BL,4,"1,274.25","1,999.00",0,13032024
567,ASMATHUIIA,1002238,LIZA INDIYN LADIES SHOE-GY GY-15,1,"2,750.00","4,999.00",0,25102024
568,ASMATHUIIA,1002240,LIZA INDIYN LADIES SHOE-GN GN-17,1,"2,750.00","4,999.00",0,25102024
569,ASMATHUIIA,1002241,PVR GOLD INDIYN LADIES SHOE- BU-3,1,"2,750.00","4,999.00",0,25102024
571,NEW FASHION,1002247,NEW FASHION SQ13 GRN - 571,1,"2,050.00","3,399.00",1,19032024
572,NEW FASHION,1002248,NEW FASHION 3518 GY - 572,1,"1,650.00","2,899.00",1,19032024
573,NEW FASHION,1002249,NEW FASHION 3518 BR - 573,1,"1,650.00","2,899.00",1,19032024
575,NEW FASHION,1002251,NEW FASHION 453 BG - 575,1,"1,650.00","2,899.00",1,19032024
576,NEW FASHION,1002253,NEW FASHION 130 BG - 577,1,"1,750.00","2,999.00",1,19032024
577,NEW FASHION,1002254,NEW FASHION 130 BL - 578,1,"1,750.00","2,999.00",1,19032024
578,NEW FASHION,1002255,NEW FASHION 130 DGR - 579,1,"1,750.00","2,999.00",1,19032024
579,NEW FASHION,1002256,NEW FASHION 130 MR- 580,1,"1,750.00","2,999.00",1,19032024
580,NEW FASHION,1002257,NEW FASHION CB02 GY - 581,1,"2,100.00","3,499.00",1,19032024
581,NEW FASHION,1002258,NEW FASHION G02 BG - 582,1,"1,975.00","3,499.00",1,19032024
582,NEW FASHION,1002260,NEW FASHION G03 GRN - 584,1,"1,975.00","3,499.00",1,19032024
583,NEW FASHION,1002261,NEW FASHION G09 BU - 585,1,"1,975.00","3,499.00",1,19032024
584,NEW FASHION,1002262,NEW FASHION G09 LBR - 586,1,"1,975.00","3,499.00",1,19032024
585,NEW FASHION,1002264,NEW FASHION 119 BU - 588,1,"1,650.00","2,899.00",1,13032024
586,NEW FASHION,1002266,NEW FASHION 0077 BU - 590,1,900.00,"2,199.00",1,19032024
587,NEW FASHION,1002267,NEW FASHION 457 BU - 591,1,"1,650.00","2,899.00",1,19032024
588,NEW FASHION,1002268,NEW FASHION 457 MR - 592,1,"1,650.00","2,899.00",1,19032024
589,NEW FASHION,1002269,NEW FASHION 3903 OWT - 593,1,"1,600.00","2,999.00",1,19032024
590,NEW FASHION,1002270,NEW FASHION 3903 GRN - 594,1,"1,600.00","2,999.00",1,19032024
591,NEW FASHION,1002271,NEW FASHION 3903 LGR- 595,1,"1,600.00","2,999.00",1,19032024
592,NEW FASHION,1002274,NEW FASHION SQO4 BU - 598,1,"2,050.00","3,499.00",1,19032024
594,NEW FASHION,1002276,NEW FASHION SQO7 GRN - 600,1,"2,050.00","3,499.00",1,19032024
595,NEW FASHION,1002277,NEW FASHION SQO7 PK - 601,1,"2,050.00","3,499.00",1,19032024
596,NEW FASHION,1002278,NEW FASHION 452 BR - 602,1,"1,650.00","2,999.00",1,19032024
597,NEW FASHION,1002279,NEW FASHION 452 BG - 603,1,"1,650.00","2,999.00",1,19032024
598,NEW FASHION,1002280,NEW FASHION 4514 GRN - 604,1,"1,750.00","3,299.00",1,19032024
599,NEW FASHION,1002281,NEW FASHION RO23 MR - 605,1,"1,650.00","2,999.00",1,19032024
600,NEW FASHION,1002282,NEW FASHION 4147 BL - 606,1,"1,500.00","2,799.00",1,19032024
601,NEW FASHION,1002283,NEW FASHION 4147 OWT - 607,1,"1,500.00","2,799.00",1,19032024
602,NEW FASHION,1002284,NEW FASHION 2024 BL - 608,1,"1,700.00","3,299.00",1,19032024
603,NEW FASHION,1002285,NEW FASHION 2022 BG - 609,1,"1,700.00","3,299.00",1,19032024
606,NEW FASHION,1002288,NEW FASHION R011 BG - 612,1,"1,650.00","2,999.00",1,19032024
607,NEW FASHION,1002289,NEW FASHION 1101 BL - 613,1,"1,750.00","3,399.00",1,19032024
608,NEW FASHION,1002290,NEW FASHION 4501 BR - 614,1,"1,750.00","3,299.00",1,19032024
609,NEW FASHION,1002291,NEW FASHION 4501 BL - 615,1,"1,750.00","3,299.00",1,19032024
610,NEW FASHION,1002292,NEW FASHION 117 GY - 616,1,"1,650.00","3,299.00",1,19032024
